filename, language, YAML, Dockerfile, Markdown, Python, Properties, XML, Shell Script, Makefile, reStructuredText, CUDA C++, C++, comment, blank, total
g:\mywork\pytorch\detectron2\projects\TensorMask\tensormask\__init__.py, Python, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
g:\mywork\pytorch\detectron2\projects\TensorMask\tensormask\arch.py, Python, 0, 0, 0, 541, 0, 0, 0, 0, 0, 0, 0, 276, 87, 904
g:\mywork\pytorch\detectron2\projects\TensorMask\tensormask\config.py, Python, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 21, 11, 51
g:\mywork\pytorch\detectron2\projects\TensorMask\tensormask\layers\__init__.py, Python, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
g:\mywork\pytorch\detectron2\projects\TensorMask\tensormask\layers\csrc\SwapAlign2Nat\SwapAlign2Nat.h, CUDA C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 1, 7, 55
g:\mywork\pytorch\detectron2\projects\TensorMask\tensormask\layers\csrc\SwapAlign2Nat\SwapAlign2Nat_cuda.cu, CUDA C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 488, 0, 3, 34, 525
g:\mywork\pytorch\detectron2\projects\TensorMask\tensormask\layers\csrc\vision.cpp, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 1, 5, 20
g:\mywork\pytorch\detectron2\projects\TensorMask\tensormask\layers\swap_align2nat.py, Python, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 15, 15, 62
g:\mywork\pytorch\detectron2\projects\TensorMask\tests\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
g:\mywork\pytorch\detectron2\projects\TensorMask\tests\test_swap_align2nat.py, Python, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 8, 31
g:\mywork\pytorch\detectron2\projects\TensorMask\train_net.py, Python, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 14, 69
g:\mywork\pytorch\detectron2\projects\TridentNet\README.md, Markdown, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 61
g:\mywork\pytorch\detectron2\projects\TridentNet\configs\Base-TridentNet-Fast-C4.yaml, YAML, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
g:\mywork\pytorch\detectron2\projects\TridentNet\configs\tridentnet_fast_R_101_C4_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\projects\TridentNet\configs\tridentnet_fast_R_50_C4_1x.yaml, YAML, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
g:\mywork\pytorch\detectron2\projects\TridentNet\configs\tridentnet_fast_R_50_C4_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\projects\TridentNet\train_net.py, Python, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 14, 69
g:\mywork\pytorch\detectron2\projects\TridentNet\tridentnet\__init__.py, Python, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
g:\mywork\pytorch\detectron2\projects\TridentNet\tridentnet\config.py, Python, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 13, 6, 27
g:\mywork\pytorch\detectron2\projects\TridentNet\tridentnet\trident_backbone.py, Python, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 20, 29, 224
g:\mywork\pytorch\detectron2\projects\TridentNet\tridentnet\trident_conv.py, Python, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 1, 12, 108
g:\mywork\pytorch\detectron2\projects\TridentNet\tridentnet\trident_rcnn.py, Python, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 36, 21, 111
g:\mywork\pytorch\detectron2\projects\TridentNet\tridentnet\trident_rpn.py, Python, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 8, 8, 33
g:\mywork\pytorch\detectron2\setup.cfg, Properties, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
g:\mywork\pytorch\detectron2\setup.py, Python, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 12, 20, 120
g:\mywork\pytorch\detectron2\tests\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
g:\mywork\pytorch\detectron2\tests\test_anchor_generator.py, Python, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 3, 13, 91
g:\mywork\pytorch\detectron2\tests\test_box2box_transform.py, Python, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 15, 59
g:\mywork\pytorch\detectron2\tests\test_boxes.py, Python, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 16, 64
g:\mywork\pytorch\detectron2\tests\test_checkpoint.py, Python, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 3, 10, 49
g:\mywork\pytorch\detectron2\tests\test_config.py, Python, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 14, 59
g:\mywork\pytorch\detectron2\tests\test_data_transform.py, Python, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 2, 15, 81
g:\mywork\pytorch\detectron2\tests\test_fast_rcnn.py, Python, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 5, 16, 104
g:\mywork\pytorch\detectron2\tests\test_mask_ops.py, Python, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 17, 36, 190
g:\mywork\pytorch\detectron2\tests\test_model_e2e.py, Python, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 8, 20, 95
g:\mywork\pytorch\detectron2\tests\test_model_zoo.py, Python, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 8, 23
g:\mywork\pytorch\detectron2\tests\test_nms_rotated.py, Python, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 18, 17, 160
g:\mywork\pytorch\detectron2\tests\test_roi_align.py, Python, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 16, 16, 87
g:\mywork\pytorch\detectron2\tests\test_roi_align_rotated.py, Python, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 35, 30, 177
g:\mywork\pytorch\detectron2\tests\test_roi_heads.py, Python, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 16, 109
g:\mywork\pytorch\detectron2\tests\test_roi_pooler.py, Python, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 1, 19, 86
g:\mywork\pytorch\detectron2\tests\test_rotated_boxes.py, Python, 0, 0, 0, 514, 0, 0, 0, 0, 0, 0, 0, 15, 50, 579
g:\mywork\pytorch\detectron2\tests\test_rpn.py, Python, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 5, 17, 211
g:\mywork\pytorch\detectron2\tests\test_sampler.py, Python, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 7, 24
g:\mywork\pytorch\detectron2\tests\test_visualizer.py, Python, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 5, 25, 144
g:\mywork\pytorch\detectron2\tools\benchmark.py, Python, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 12, 24, 152
g:\mywork\pytorch\detectron2\tools\plain_train_net.py, Python, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 31, 28, 231
g:\mywork\pytorch\detectron2\tools\train_net.py, Python, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 38, 17, 167
g:\mywork\pytorch\detectron2\tools\visualize_data.py, Python, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 2, 12, 97
g:\mywork\pytorch\detectron2\tools\visualize_json_results.py, Python, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 4, 23, 91
Total, -, 1367, 17, 2001, 18662, 22, 1, 131, 9, 186, 4344, 992, 9151, 5624, 42507
